Xbox Game Title	Title ID	Title	XDK version
F1 2002	0x45410014	F1 2002	4134
F1 Career Challenge	0x45410032	F1 Career Challenge	5233
Fable	0x4D53000D	Fable	5849
Fable: The Lost Chapters	0x4D5300D1	Fable: The Lost Chapters	5849
Fahrenheit			5849
Fairly Odd Parents: Breakin' Da Rules	0x54510020	Fairly OddParents	5558
Fallout: Brotherhood of Steel	0x49500008	Fallout Brotherhood of Steel	5558
Family Guy	0x545400B0	Family Guy	5849
Fantastic Four	0x4156001A	Fantastic Four	5849
Far Cry Instincts	0x55530008	FarCry Instincts	5849
Far Cry Instincts Evolution	0x55530060	FarCry Instincts Evolution	5849
Fatal Frame (NTSC)	0x54430004	FATAL FRAME	4721
Fatal Frame (NTSC-J)	0x54430004	FATAL FRAME	4928
Fatal Frame 2: Crimson Butterfly Director's Cut	0x5443000A	Fatal Frame 2	5849
FIFA 2004	0x4541003B	FIFA Football 2004	5455
FIFA Soccer 06	0x45410078	FIFA 06	5849
FIFA Soccer 07	0x454100A6	FIFA 07	5849
FIFA Soccer 2003	0x45410017	FIFA SOCCER 2003	4721
FIFA Soccer 2005	0x4541004E	FIFA Soccer 2005	5849
FIFA STREET	0x45410072	FIFA Street	5849
FIFA Street 2	0x45410085	FIFA STREET 2	5849
FIFA World Cup - Germany 2006	0x4541009C	2006 FIFA World Cup	5849
FIFA World Cup 2002	0x4541000B	FIFA World Cup TM	4039
Fight Club	0x5655002F	FightClub	5849
Fight Night 2004	0x4541004B	Fight Night 2004	5659
Fight Night Round 2	0x45410055	EA SPORTS FN 2	5849
Fila World Tour Tennis	0x54510009	FILA World Tour Tennis	4627
Final Fight Streetwise	0x43430013	Final Fight Streetwise	5849
Finding Nemo	0x5451001E	Finding Nemo	5344
Fireblade	0x4D570012	Fireblade	4831
FlatOut	0x454D0009	FlatOut	5849
FlatOut 2	0x454D0020	FlatOut2	5849
Flight Academy	0x41510002	FlightAcademy	4361
Ford Bold Moves Street Racing	0x454D001F	Ford Street Racing	5849
Ford Mustang: The Legend Lives	0x54540077	Ford Mustang	5849
Ford Racing 2	0x454D0007	Ford Racing 2	5558
Ford Racing 3	0x454D000D	Ford Racing 3	5849
Ford vs Chevy	0x54540089	Ford vs. Chevy	5849
Forgotten Realms: Demon Stone	0x49470074	N/A	5849
Forza Motorsport	0x4D53006E	Forza Motorsport	5849
Frankie Dettori Racing (PAL)			5849
Freaky Flyers	0x4D570007	Freaky Flyers	5455
Freedom Fighters	0x4541002E	Freedom Fighters	5558
Freestyle MetalX	0x4D570017	Freestyle MetalX	5455
Freestyle Street Soccer			5558
Frogger Beyond	0x4B4E0013	Frogger Beyond	4831
Frogger: Ancient Shadow	0x4B4E002C	Frogger Ancient Shadow	5849
Full Spectrum Warrior	0x54510022	Full Spectrum Warrior	5849
Full Spectrum Warrior: Ten Hammers	0x545100F8	Full Spectrum Warrior: Ten Hammers	5849
Furious Karting	0x4947000B	Furious Karting	5233
Futurama	0x46490002	Futurama	5233
Future Tactics: The Uprising	0x43560007	Uprising	5849
Fuzion Frenzy	0x4D530002	Fuzion Frenzy	3925
Galaxy Angel	0x42520001	GalaxyAngel	4831
Galleon	0x41540004	Galleon	5849
